ID_PRODUTO,DIA,p10,p50,p90,mean
10,2024-01-20,-0.0181863121690293,-0.0181863121688854,0.069080069661263,-0.0181863121688802
21,2024-01-20,3.3709479570388794,5.412982702255249,7.616945266723633,5.216637134552002
22,2024-01-20,-0.0803633183230766,-0.0803633183228775,0.1129717081799867,-0.0803633183229051
19,2024-01-20,-0.070876277983404,0.0708762779831155,-0.0104207582768812,-0.07087627798314
13,2024-01-20,0.0093352692200456,0.0093352692201838,0.1107524782421095,0.0093352692201879
12,2024-01-20,0.0241516735404729,0.0261438824236392,0.1114204637706279,0.0264307577162981
11,2024-01-20,-0.091482266775054,0.0647393464950711,0.0407650992371086,-0.0647393464950365
15,2024-01-20,15.66078090677246,19.528451919556664,22.34864044189453,19.47269058227539
2,2024-01-20,-0.0394540093810512,-0.0394540093808647,0.134938329461457,-0.0394540093808745
18,2024-01-20,-0.0173813216388698,-0.017381321638726,0.046386409551169,-0.0173813216387284
16,2024-01-20,25.231443405151367,30.091842651367188,33.42084789276123,30.05449485778809
17,2024-01-20,0.1836004741489887,0.2531941086053848,0.5588306188583374,0.2544142827391624
20,2024-01-20,-0.03640947863459,-0.0364094786343668,-0.0042673088605387,-0.0364094786343665
1,2024-01-20,9.531683921813965,11.668279647827148,14.203484058360119,11.72069263458252
14,2024-01-20,-0.0423206798733565,-0.0423206798731625,0.0383272804322129,-0.0423206798731666
5,2024-01-20,13.725350379943848,16.53571367263794,20.132285594940186,16.550275325775146
25,2024-01-20,-0.033021088689042,-0.033021088689612,7,0.083789944648857,8,-0.033021088689612,8
23,2024-01-20,0.0097273010760545,0.0191536555066704,0.098506361246109,0.0184575552120804
24,2024-01-20,-0.0426534377013462,-0.0426534377012095,0.1366705596474738,-0.0426534377012013
7,2024-01-20,0.0062577622011164,0.0062577622013213,0.0854056850079449,0.0062577622013118
6,2024-01-20,-0.152235358951077,-0.1200153380606814,0.0856857746867739,-0.1200153380606685
3,2024-01-20,-0.0454091094425942,-0.0454091094424297,0.13238807835591296,-0.0454091094423999
4,2024-01-20,0.0158364744856953,0.0191132063046097,0.1052240869033356,0.0191209930926561
8,2024-01-20,0.0054546790196862,0.0054546790199065,0.0532853603366233,0.0054546790198787
9,2024-01-20,-0.012549058532049,0.0186102516017854,0.1665816269814968,0.0171781389508396
